```csv
Nome da Startup,País Sede,Site,Setor,Ano de Fundação,Valor do Investimento,Rodada,Data do Investimento,Venture Capital Investidor,LinkedIn do Fundador,Link do Github,Tecnologias Utilizadas,Tamanho da Equipe,Tamanho do Mercado (USD)
Nexu,México,https://nexu.mx,Fintech,2020,USD 8M,Series A,2023-06-15,Kaszek Ventures,https://www.linkedin.com/in/fernando-sanchez/,https://github.com/nexu-mx,"Node.js, React, AWS, Microservices, Kubernetes",80,~5B (Fintech México)[3][5]
Kavak,México,https://kavak.com,Fintech/Marketplace,2016,USD 70M,Series D,2023-03-20,Monashees,https://www.linkedin.com/in/carlozala/,https://github.com/kavak,"Python, React, AWS, Machine Learning, Big Data",3500,~40B (Used Car Market LATAM)[1][6]
Ualá,Argentina,https://uala.com.ar,Fintech,2017,USD 150M,Series D,2024-01-10,Valor Capital Group,https://www.linkedin.com/in/paula-barzi/,https://github.com/uala,"Kotlin, Swift, Node.js, AWS, React Native, AI models",600,~3B (Unbanked population Fintech Argentina)[3][4]
NotCo,Chile,https://notco.com,Foodtech/AI,2015,USD 85M,Series D,2023-09-05,NXTP Ventures,https://www.linkedin.com/in/matias-cuminao/,https://github.com/notco,"Python, TensorFlow, Cloud Infrastructure, AI/ML",250,~1.5B (Plant-based Food LATAM)[1][4]
Kushki,Equador,https://kushki.com,Fintech,2018,USD 40M,Series B,2023-11-12,Canary,https://www.linkedin.com/in/guillermo-rivera/,https://github.com/kushki,"Ruby on Rails, React, AWS, API integrations, PCI compliant",120,~5B (Online Payments LATAM)[3][5]
Credijusto,México,https://credijusto.com,Fintech,2014,USD 50M,Series C,2024-05-17,Astella Investimentos,https://www.linkedin.com/in/sebastiangrotti/,https://github.com/credijusto,"Java, Spring Boot, React, AWS, Microservices, Data Analytics",350,~5B (SME Lending Mexico)[3][5]
Jüsto,México,https://justo.mx,E-commerce,2018,USD 30M,Series B,2023-08-22,Ignia Partners,https://www.linkedin.com/in/mikemagana/,https://github.com/justo,"Node.js, React Native, AWS, Kubernetes, Payment Gateway Integration",200,~2B (Online Grocery LATAM)[1]
Kavak Logistics,México,https://kavaklogistica.mx,Logistics Tech,2020,USD 15M,Series A,2023-12-01,Dalus Capital,https://www.linkedin.com/in/ricardolopezvaldes/,https://github.com/kavaklogistica,"Python, React, IoT, GPS Tracking, Cloud AWS",150,~7B (Logistics Market LATAM)[1]
Cornershop by Uber,Chile,https://cornershopapp.com,E-commerce,2015,USD 50M,Series D,2023-11-20,Mouro Capital,https://www.linkedin.com/in/melissamora/,https://github.com/cornershop,"React Native, Node.js, AWS, AI-driven Recommendation",300,~3B (Online Grocery LATAM)[1][4]
Rappi,Colômbia,https://rappi.com,E-commerce,2015,USD 200M,Series E,2024-03-30,Redwood Ventures,https://www.linkedin.com/in/simonsanchez/,https://github.com/rappi,"Kotlin, Swift, Golang, AWS, AI & Machine Learning, Big Data",4000,~6B (Delivery & Grocery LATAM)[4][5]
