```csv
Nome da Startup,País Sede,Site,Setor,Ano de Fundação,Valor do Investimento,Rodada,Data do Investimento,Venture Capital Investidor,LinkedIn do Fundador,Link do Github,Tecnologias Utilizadas,Tamanho da Equipe,Tamanho do Mercado (USD)
Nexu,México,https://nexu.mx,Fintech,2020,USD 8M,Series A,2023-06-15,Kaszek Ventures,https://www.linkedin.com/in/fernando-sanchez/,https://github.com/nexu-mx,"Node.js, React, AWS, Microservices, Kubernetes",80,~5B (Fintech México)
Kavak,México,https://kavak.com,Fintech/Marketplace,2016,USD 70M,Series D,2023-03-20,Monashees,https://www.linkedin.com/in/carlozala/,https://github.com/kavak,"Python, React, AWS, Machine Learning, Big Data",3500,~40B (Used Car Market LATAM)
Ualá,Argentina,https://uala.com.ar,Fintech,2017,USD 150M,Series D,2024-01-10,Valor Capital Group,https://www.linkedin.com/in/paula-barzi/,https://github.com/uala,"Kotlin, Swift, Node.js, AWS, React Native, AI models",600,~3B (Unbanked population Fintech Argentina)
NotCo,Chile,https://notco.com,Foodtech/AI,2015,USD 85M,Series D,2023-09-05,NXTP Ventures,https://www.linkedin.com/in/matias-cuminao/,https://github.com/notco,"Python, TensorFlow, Cloud Infrastructure, AI/ML",250,~1.5B (Plant-based Food LATAM)
Kushki,Equador,https://kushki.com,Fintech,2018,USD 40M,Series B,2023-11-12,Canary,https://www.linkedin.com/in/guillermo-rivera/,https://github.com/kushki,"Ruby on Rails, React, AWS, API integrations, PCI compliant",120,~5B (Online Payments LATAM)
Credijusto,México,https://credijusto.com,Fintech,2014,USD 50M,Series C,2024-05-17,Astella Investimentos,https://www.linkedin.com/in/sebastiangrotti/,https://github.com/credijusto,"Java, Spring Boot, React, AWS, Microservices, Data Analytics",350,~5B (SME Lending Mexico)
Jüsto,México,https://justo.mx,E-commerce,2018,USD 30M,Series B,2023-08-22,Ignia Partners,https://www.linkedin.com/in/mikemagana/,https://github.com/justo,"Node.js, React Native, AWS, Kubernetes, Payment Gateway Integration",200,~2B (Online Grocery LATAM)
Kavak Logistics,México,https://kavaklogistica.mx,Logistics Tech,2020,USD 15M,Series A,2023-12-01,Dalus Capital,https://www.linkedin.com/in/ricardolopezvaldes/,https://github.com/kavaklogistica,"Python, React, IoT, GPS Tracking, Cloud AWS",150,~7B (Logistics Market LATAM)
Cornershop by Uber,Chile,https://cornershopapp.com,E-commerce,2015,USD 50M,Series D,2023-11-20,Mouro Capital,https://www.linkedin.com/in/melissamora/,https://github.com/cornershop,"React Native, Node.js, AWS, AI-driven Recommendation",300,~3B (Online Grocery LATAM)
Rappi,Colômbia,https://rappi.com,E-commerce,2015,USD 200M,Series E,2024-03-30,Redwood Ventures,https://www.linkedin.com/in/simonsanchez/,https://github.com/rappi,"Kotlin, Swift, Golang, AWS, AI & Machine Learning, Big Data",4000,~6B (Delivery & Grocery LATAM)
Ualet,Chile,https://ualet.com,Fintech,2017,USD 15M,Series B,2024-06-10,Monashees,https://www.linkedin.com/in/danielmnay/,https://github.com/ualet,"Node.js, React, AWS, Big Data, Robo-advisor AI",50,~1B (Investment Fintech LATAM)
Konfío,México,https://konfio.mx,Fintech,2014,USD 35M,Series C,2023-10-15,Variv Capital,https://www.linkedin.com/in/confiofounder/,https://github.com/konfio,"Python, React, Cloud, AI Credit Scoring, Big Data Analytics",400,~5B (SME Lending Mexico)
Fintual,Chile,https://fintual.cl,Fintech,2017,USD 20M,Series B,2023-07-25,Seaya Ventures,https://www.linkedin.com/in/pedrogonzalez/,https://github.com/fintual,"Python, React, AWS, AI-based Investment Platform",100,~1B (Wealth Management LATAM)
Prescrypto,México,https://prescrypto.com,Healthtech,2018,USD 5M,Seed,2024-04-10,Genesis Ventures,https://www.linkedin.com/in/juanmorett/,https://github.com/prescrypto,"React, Node.js, Blockchain for Prescription Management",40,~2B (Digital Health LATAM)
Kavak Pay,México,https://kavakpay.com,Fintech,2019,USD 25M,Series B,2023-09-15,Cometa VC,https://www.linkedin.com/in/carlozala/,https://github.com/kavakpay,"React Native, Node.js, AWS, Payment Gateway APIs",90,~5B (Digital Payments LATAM)
Kubo.financiero,México,https://kubo.financiero,Fintech,2012,USD 10M,Series A,2023-05-20,Magma Partners,https://www.linkedin.com/in/jesussevilla/,https://github.com/kubofinanciero,"Ruby on Rails, React, AWS Cloud, P2P Lending Platform",150,~5B (P2P Lending Mexico)
Gympass,Brasil,https://gympass.com,Health/Fitness,N/A,N/A,N/A,N/A,Monashees,N/A,https://github.com/gympass,"Java, React, AWS, Mobile Apps",3000,~15B (Fitness Market LATAM)
Nubank,Brasil,https://nubank.com,Fintech,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A,https://github.com/nubank,"Kotlin, Java, Python, React, AWS, Data Science",6000,~125B (Latin America Fintech)
QuintoAndar,Brasil,https://quintoandar.com.br,Proptech,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A,https://github.com/quintoandar,"Java, React Native, AWS, Cloud Microservices",2000,~10B (Brazil Real Estate Market)
Loggi,Brasil,https://loggi.com,Logistics Tech,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A,https://github.com/loggi,"Python, React, AWS, Logistics ML",1800,~7B (Logistics Brazil)
Wildlife Studios,Brasil,https://wildlifestudios.com,Gaming,N/A,N/A,N/A,N/A,Monashees,N/A,https://github.com/wildlifestudios,"Unity, C#, Cloud Gaming Infrastructure",850,~3B (LATAM Gaming)
Ebanx,Brasil,https://ebanx.com,Fintech,N/A,N/A,N/A,N/A,Valor Capital Group,N/A,https://github.com/ebanx,"Java, Spring, React, Payment APIs, Fraud Detection AI",700,~5B (Cross-border Payments LATAM)
Mural,Argentina,https://mural.co,SaaS,N/A,N/A,N/A,N/A,NXTP Ventures,N/A,https://github.com/mural,"React, Node.js, AWS, Real-time Collaboration",500,~1.5B (Enterprise SaaS LATAM)
